,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,310.0,79848.0,2495454.0,2495613.0,2533040.0,2534832.0,2543583.0,2552315.0,2552689.0,2555383.0,2555415.0,2558175.0,2559033.0,,,,,,,,,,
1,310.0,79848.0,2534832.0,2543583.0,2552315.0,2552418.0,2552689.0,2555383.0,2555415.0,2556363.0,2557034.0,2557958.0,2560854.0,,,,,,,,,,
2,310.0,79848.0,2495454.0,2533040.0,2534832.0,2543583.0,2552315.0,2552453.0,2552689.0,2555383.0,2555415.0,2556363.0,2557958.0,,,,,,,,,,
3,310.0,79848.0,2495454.0,2495613.0,2533040.0,2534832.0,2543583.0,2552315.0,2552689.0,2555383.0,2555415.0,2557958.0,2560854.0,,,,,,,,,,
4,310.0,79848.0,2507828.0,2534832.0,2543583.0,2552315.0,2555415.0,2556363.0,2558023.0,2558175.0,2559033.0,,,,,,,,,,,,
5,2507763.0,2532842.0,2539334.0,2539653.0,2540158.0,2543850.0,2552301.0,2552582.0,2552600.0,2553502.0,2555162.0,2555255.0,2555543.0,2556445.0,,,,,,,,,
6,2506467.0,2507763.0,2532842.0,2539334.0,2539653.0,2540158.0,2543850.0,2552301.0,2552600.0,2555162.0,2555255.0,2555543.0,2556445.0,2560995.0,,,,,,,,,
7,310.0,79848.0,2495454.0,2533040.0,2534832.0,2552315.0,2552453.0,2552689.0,2555383.0,2555415.0,2557958.0,2558175.0,2560854.0,,,,,,,,,,
8,310.0,79848.0,2495454.0,2495613.0,2507828.0,2534832.0,2552315.0,2552453.0,2552689.0,2555383.0,2555415.0,2558175.0,2560854.0,,,,,,,,,,
9,310.0,79848.0,2495454.0,2495613.0,2507828.0,2534832.0,2543583.0,2552315.0,2552689.0,2555383.0,2555415.0,2558175.0,2560854.0,,,,,,,,,,
10,310.0,79848.0,2495454.0,2507828.0,2533040.0,2534832.0,2543583.0,2552315.0,2552689.0,2555383.0,2556363.0,2557958.0,2560854.0,,,,,,,,,,
11,310.0,79848.0,2495454.0,2495613.0,2533040.0,2534832.0,2543583.0,2552315.0,2552689.0,2555383.0,2555415.0,2558023.0,2558175.0,,,,,,,,,,
12,2506467.0,2507763.0,2532842.0,2539334.0,2539653.0,2540158.0,2543850.0,2552301.0,2552600.0,2553502.0,2555162.0,2555255.0,2555543.0,2556445.0,,,,,,,,,
13,2506467.0,2507763.0,2532842.0,2539334.0,2539653.0,2540158.0,2543850.0,2552301.0,2552600.0,2553502.0,2555162.0,2555255.0,2555543.0,2556445.0,,,,,,,,,
14,2507763.0,2532842.0,2539334.0,2539653.0,2540158.0,2543850.0,2552301.0,2552600.0,2553502.0,2555162.0,2555255.0,2555461.0,2555543.0,2556445.0,,,,,,,,,
15,310.0,79848.0,2495454.0,2507828.0,2534832.0,2543583.0,2552315.0,2552689.0,2555383.0,2556363.0,2558175.0,2559033.0,2560854.0,,,,,,,,,,
16,310.0,79848.0,2495454.0,2495613.0,2533040.0,2534832.0,2543583.0,2552315.0,2552689.0,2555383.0,2555415.0,2557958.0,2560854.0,,,,,,,,,,
17,2507763.0,2532842.0,2539334.0,2539653.0,2540158.0,2543850.0,2552582.0,2552600.0,2555162.0,2555255.0,2555543.0,2557967.0,2560995.0,,,,,,,,,,
18,2507763.0,2532842.0,2539334.0,2539653.0,2540158.0,2543850.0,2552582.0,2552600.0,2553502.0,2555162.0,2555255.0,2555543.0,2556445.0,,,,,,,,,,
19,2507763.0,2532842.0,2539334.0,2539653.0,2540158.0,2543850.0,2552582.0,2552600.0,2553502.0,2555162.0,2555255.0,2555543.0,2556445.0,,,,,,,,,,
20,2507763.0,2532842.0,2539334.0,2539653.0,2540158.0,2543850.0,2552301.0,2552582.0,2552600.0,2553502.0,2555162.0,2555255.0,2555543.0,2556445.0,,,,,,,,,
21,2506467.0,2507763.0,2532842.0,2539334.0,2539653.0,2540158.0,2543850.0,2552301.0,2552600.0,2553502.0,2555162.0,2555255.0,2555543.0,2556445.0,,,,,,,,,
22,2506467.0,2507763.0,2532842.0,2539291.0,2539334.0,2539653.0,2540158.0,2543850.0,2552301.0,2553502.0,2555162.0,2555255.0,2555543.0,2556445.0,,,,,,,,,
